4.88780244,0.05254,4.36,23.4,0.218,,,0.68,0.81,6.5
3407,4.13,,507,0.601,,,0.68,0.81,6.5
3.2130598,0.0384,10.749,67.059,0,,963,0.7,0.73,2.5
2.91625,,14.258,270.462,0.0133,,,,,
446.27,,,4538.421,0.6616,,,,,
4.62767,,15.917,1093.3352,0.11,,,1.82,2.65,
10.8635,,11.882,616.5902,0.19,,,1.07,1,
2.77596,0.0413,14.448,1332.605,0.036,,1626,1.24,1.22,2
10.33852,,11.769,184.3414,0.35,,,0.87,0.99,
5584,5.6,,1080.6,0.39,,,0.84,0.92,
5.508023,0.0559,11.153,62.61,0.084,,852,0.75,0.77,12.4
4.008778,0.0466,12.689,92.802,0.067,,1010,0.82,0.84,8.8
5.6335158,0.06814,,2739.6946,0.5172,,,1.39,1.33,1.44
2.875317,0.0361,9.718,2302.899,0.015,,970,0.69,0.76,6.7
4.12448,,12.442,1547.8321,0.23,,,1.21,1.24,
3.21222,,12.89,785.0401,0.02,,,1.11,1.13,
1.21288,,12.218,425.8922,0.11,,,0.96,0.58,
3.35524,,14.572,238.3725,0.07,,,1.38,1.37,
3.65281514,0.0466,12.722,180.84527,0.023,325,1182,0.92,1.01,
4.23452,,7.062,22.2481,0.12,,,0.87,1.12,
3.039577,0.04,11.43,197.05,0,,,0.86,0.92,
3.257215,0.0434,13.585,198.953,0.051,,1384,1.1,1.02,6.1
5.72319,,13.115,279.6904,0.09,,,1.3,1.45,
2.8997,,10.536,206.5895,0,,,0.87,1.06,
2.8106,,16.141,263.7989,0.04,,,1.31,1.55,
5.00542,,12.218,721.4741,0.25,,,1.39,1.31,
2.1500082,0.03397,22.194,216.1244,0.159,1841,1836,1.37,1.13,
3.47447,,20.737,292.4036,0,,,1.79,1.82,
5.452654,0.06774,13.417,1058.3739,0.432,,,1.53,1.39,1.7
3.646706,0.04978,14.93,335.62848,0.02,,,1.44,1.24,3.5
1.32734683,0.0241,14.314,587.41341,,,1781,1.04,1.03,
2.797436,0.0379,13.204,371.528,0.058,,1271,0.88,0.93,
4.640382,0.0523,9.247,84.857,0.067,,1082,0.92,0.89,
3.54387,0.0509,17.609,190.372,0,,1752,1.62,1.4,
3.056536,0.04438,14.28,213.255,0,,1686,,,
4.45724,,17.038,152.5584,0,,,1.94,1.03,
2.69405,,22.978,378.2177,0,,,2.05,2.56,
4.641878,0.0575,14.348,331.801,0,,1428,1.53,1.18,5.2
3.332687,0.0443,14.359,210.395,0,,1361,1.1,1.05,5.7
4.301219,0.0507,13.922,111.871,0.044,,1108,0.95,0.94,7.5
872.2,1.752,,1271.3,0.494,,,0.95,0.94,7.5
3.128992,0.0452,15.984,283.492,0.049,,1652,1.32,1.26,2
4.463129,0.0577,14.392,156.684,0.123,,1458,1.4,1.28,2.5
2.69155,,17.822,699.226,0,,,2.06,2.22,
2.78849,,13.563,311.4734,0,,,1.12,1.04,
3.1220109,0.0453,14.437,429.0705,0.115,,1862,1.7,1.27,3.37
4.2180278,0.05069,14.493,98.20947,0.123,,1192,1.04,0.98,8.2
2.7535953,0.03694,11.31,259.98494,0.047,,1218,0.89,0.89,9.4
1.9616241,0.03159,14.773,471.65972,0.134,,1778,1.21,1.09,4.67
3.799847,0.04117,10.581,241.5508,0.074,,818,0.62,0.65,3.9
3.5852467,0.04604,13.249,184.97706,0.139,,1313,1.01,1.01,4.2
2.79083,,16.926,734.1873,,,,1.47,1.42,
2.4653,,19.504,448.1403,0,,,1.85,2.77,
3.85298,,16.589,419.5356,0,,,1.62,1.79,
2.6054552,0.03951,21.185,167.49641,0.304,,1930,1.86,1.21,5.46
2.972086,0.04363,17.822,248.86089,0.09,,1896,1.88,1.25,4.66
4.8101025,0.06505,23.371,108.0622,0,,1903,2.55,1.64,1.24
4.7869491,0.06555,18.786,1137.8314,0,,1930,1.93,1.65,1.27
2.20474,,16.926,584.8072,0,,,2,1.56,
2.74432452,0.04739,20.961,2154.8874,0,,2562,1.86,1.89,0.6
3.07634,,15.693,406.8224,0,,,1.57,1.27,
3.92281072,0.05287,15.614,238.05467,0.084,931,1540,1.34,1.28,
3.446459,0.0444,14.594,589.55,0.12,,1359,1.04,0.99,
3.312846,0.04491,10.862,167.17858,0.501,,1407,1.1,1.1,3.3
3.619188,0.0507,18.03,,,,1596,1.54,1.33,
3.142702,0.0441,7.76,,,,1446,1.17,1.16,
3.0440499,0.04057,13.585,172.58169,0.181,,1244,0.89,0.96,2.5
2.7667641,0.03815,11.646,340.39593,0.142,,1276,0.93,0.97,4.9
1.74748753,0.02712,12.386,689.6911,0.126,,1505,0.92,0.87,11
2.686502,0.03744,14.572,1039.3041,0,,1592,1.24,0.97,9.5
16.254611,0.1308,8.709,425.25654,0.029,72.7,814,1.09,1.13,2.1
0.83784,0.0174,14.897,629.14449,,,2069,1.02,1.04,
1.354133,0.023,13.092,427.463,0,,1577,0.9,0.88,9.7
4.7228124,0.05025,10.682,870.8542,0.079,,858,0.69,0.76,
2.1605156,0.03397,20.849,467.2101,0.114,,1654,1.2,1.12,4.2
1.3484978,0.0238,15.637,718.2958,0,,2166,1.12,1.07,3.7
4.2986432,0.05163,14.123,194.82979,0.176,,1277,1.11,0.99,7.5
3.3023881,0.04735,19.616,206.5895,0.245,,1918,2.04,1.3,4.04
4.637038,0.0611,16.814,168.4499,0.581,,1659,1.74,1.42,2.3
3.1810781,0.04131,13.384,213.58176,0.202,,1253,0.92,0.93,6.2
4.6058749,0.05475,14.022,207.54299,0.158,,1212,1.07,1.03,5.5
3.547851,0.0485,15.48,340.382,0,,1648,1.4,1.21,3.2
3.1743516,0.04354,13.171,224.38798,0.096,,1414,1.06,1.09,2.3
3.37796,0.0478,18.383,279.6904,0.233,,1823,1.87,1.27,4.3
2.8126548,0.04024,14,292.4036,0.471,,1437,1.1,1.1,3.5
2.5495551,0.03727,13.787,378.85336,0.08,,1429,1.02,1.06,3
2.1061607,0.03166,16.029,299.07803,0.108,,1445,0.98,0.95,7.7
1.8209993,0.03199,16.41,388.38826,0.306,,2037,1.43,1.32,2.13
4.175186,0.0523,12.92,,,,1203,1.1,1.1,
4.3315366,0.04913,6.793,31.46517,0,229.7,1085,0.88,0.84,11.46
4.375021,0.05036,6.882,23.51942,0,464.7,1294,1.1,0.89,11.89
4.5776348,0.06007,17.598,200.2329,0.275,,1645,1.62,1.38,2.06
2.516729,0.0362,11.433,420.471,0.013,,1315,0.93,1,2.1
3.2642736,0.04997,17.71,505.3497,0.312,,2101,2.26,1.56,2.07
4.193649,0.0583,14.908,3082.951,0.38,,1710,1.71,1.5,1.34
2.292102,0.03689,15.693,597.5204,0.229,,1856,1.48,1.27,3.26
4.3888497,0.04944,13.227,82.95363,0.173,,1003,0.81,0.84,8.6
2.7439004,0.03649,11.96,177.9848,0.279,,1161,0.85,0.86,9.7
4.1876244,0.05511,14.415,222.481,0.24,,1518,1.31,1.27,1.52
4.7423729,0.05367,10.122,54.98459,0.559,,1054,0.85,0.92,3
3.9228038,0.04269,12.52,117.27927,0.088,87.73,853,0.66,0.67,8.1
3.1316666,0.03769,8.967,77.23269,0.162,137.6,955,0.72,0.73,11.97
4.1480467,0.04515,8.575,112.19399,0.071,80.45,835,0.7,0.71,10.5
4.763387,0.0542,10.223,75.323,0.019,,1025,0.87,0.94,3.6
3.8297015,0.05046,12.666,123.9537,0.516,,,1.12,1.17,1.2
3.3488702,0.04639,15.805,244.09344,0.33,,1553,1.44,1.19,4.74
1.36665436,0.02498,15.491,711.9392,0.246,,1834,1.05,1.11,1.2
3.8537768,0.04753,15.02,189.10885,0.33,,1312,1.1,0.96,9
2.5441828,0.03763,11.96,241.5508,0.126,,1625,1.32,1.1,6.6
4.2042001,0.05412,14.022,292.72143,0.092,,1367,1.13,1.2,0.4
4.324799,0.06043,18.921,191.33366,0.019,,1902,2.2,1.57,1.894
2.350621,0.03493,12.767,1000.21101,0.028,,1413,0.96,1.03,2.5
4.2180896,0.05798,12.274,327.3649,0.168,,1721,1.43,1.46,0.31
5.416081,0.06112,12.621,256.17098,0.129,269,1128,1.04,1.04,4.3
1422,2.504,,4036.441,0.083,0.16,176,1.04,1.04,4.3
3.3252725,0.03623,11.187,101.38777,0,,713,0.57,0.57,8.1
3.560829,0.04708,12.924,210.40346,0.191,903.9,1528,1.46,1.1,7.55
7.817953,0.07908,13.395,1080.622,0.092,374.2,1226,1.66,1.08,8.9
3.2768837,0.04163,11.825,56.89157,0.298,387.4,1237,0.93,0.9,9.55
